model_name,accuracy,f1,precision,recall,MSKD
bert-base-uncased,0.5466666666666666,0.5466666666666666,0.4991205035565938,0.446183761987536,False
deepset/electra-base-squad2,0.5133333333333333,0.5133333333333333,0.3776293389196615,0.4020045018429874,False
google/electra-large-generator,0.42,0.4199999999999999,0.4202783151178281,0.2991772309398819,False
google/electra-base-generator,0.3766666666666666,0.3766666666666666,0.2689020473850195,0.2213554457178746,False
google/electra-large-discriminator,0.2033333333333333,0.2033333333333333,0.0156410256410256,0.0769230769230769,False
howey/electra-base-mnli,0.5166666666666667,0.5166666666666667,0.4094888286334755,0.4023218916526151,False
