model_name,accuracy,f1,precision,recall,MSKD
bert-base-uncased,0.5833333333333334,0.5833333333333334,0.5232498619561187,0.514088991426098,False
deepset/electra-base-squad2,0.5133333333333333,0.5133333333333333,0.3776293389196615,0.4020045018429874,False
google/electra-large-generator,0.42,0.4199999999999999,0.4202783151178281,0.2991772309398819,False
google/electra-base-generator,0.37666666666666665,0.37666666666666665,0.26890204738501955,0.22135544571787463,False
